SPECIES,STRAIN,JGILIBRARY,BIOSAMPLE,BIOPROJECT,SRA,LOCUSTAG,TEMPLATE
Mortierella gamsii,AD045,BCCHY,SAMN05720529,PRJNA340843,SRS1930903,BGZ96,Mortierellaceae_MLST
Mortierella gamsii,NVP60,BCCNZ,SAMN05720530,PRJNA340844,SRS1932008,BGZ97,Mortierellaceae_MLST
Mortierella globulifera,AD054,BCCHZ,SAMN05720444,PRJNA340845,SRS1930898,BGZ98,Mortierellaceae_MLST
Mortierella globulifera,REB-010B,BCCPT,SAMN05720531,PRJNA340846,SRS1932010,BGZ99,Mortierellaceae_MLST
Mortierella horticola,AD009,BCCTN,SAMN05720532,PRJNA340847,SRS1930870,BG000,Mortierellaceae_MLST
Mortierella horticola,CK413,BCCHB,SAMN05720445,PRJNA340850,SRS1930925,BG003,Mortierellaceae_MLST
Mortierella humilis,KOD 1050,BCCTA,SAMN05720536,PRJNA340851,SRS1932034,BG004,Mortierellaceae_MLST
Mortierella hygrophila,NRRL 2591,CTHUY,SAMN10361082,PRJNA499664,SRS4288478,EC957,ZygoLCG
Mortierella isabellina,NRRL A-11333,GAUZH,SAMN11510677,PRJNA536134,SRS5119186,FBW87,ZygoLCG
Mortierella isabellina,NRRL A-12504,GAUZN,SAMN11510678,PRJNA536135,SRS5119185,FBW88,ZygoLCG
Mortierella minutissima,AD069,BCCNO,SAMN05720476,PRJNA340852,SRS1930900,BG005,Mortierellaceae_MLST
Mortierella minutissima,NVP1,BCCNS,SAMN05720446,PRJNA340853,SRS1931038,BG006,Mortierellaceae_MLST
Mortierella multidivaricata,NRRL 6456,BCCTY,SAMN05720499,PRJNA340801,SRS1932111,BGZ54,Mortierellaceae_MLST
Mortierella parvispora,AD039,BCCHT,SAMN05720480,PRJNA340856,SRS1930901,BG009,Mortierellaceae_MLST
Mortierella polycephala,KOD 948,BCCOA,SAMN05720452,PRJNA340858,SRS1932030,BG011,Mortierellaceae_MLST
Mortierella polygonia,AM948,BCCNG,SAMN05720481,PRJNA340860,SRS1930922,BG012,Mortierellaceae_MLST
Mortierella ramannianavar.autotrophica,NRRL 5843T,GBNUA,SAMN10361082,PRJNA499664,SRS4288478,EC957,ZygoLCG
Mortierella schmuckeri,NRRL 6426,BCCPP,SAMN05720483,PRJNA340863,SRS1932110,BG015,Mortierellaceae_MLST
Mortierella selenospora,KOD 1015,BCCSO,SAMN05720454,PRJNA340476,SRS1932018,BGW38,Mortierellaceae_MLST
Mortierella sp.,AD010,BCCTO,SAMN05720791,PRJNA340560,SRS1930868,BGX20,Mortierellaceae_MLST
Mortierella sp.,AD011,BCCTP,SAMN05720798,PRJNA340561,SRS1930878,BGX21,Mortierellaceae_MLST
Mortierella sp.,AD031,BCCNB,SAMN05720799,PRJNA340563,SRS1930905,BGX23,Mortierellaceae_MLST
Mortierella sp.,AD032,BCCNC,SAMN05720491,PRJNA340564,SRS1930904,BGX24,Mortierellaceae_MLST
Mortierella sp.,AD094,BCCTB,SAMN05720438,PRJNA340566,SRS1930916,BGX26,Mortierellaceae_MLST
Mortierella sp.,AM989,BCCNN,SAMN05720439,PRJNA340567,SRS1930923,BGX27,Mortierellaceae_MLST
Mortierella sp.,GBA30,BCCHG,SAMN05720448,PRJNA340568,SRS1930929,BGX28,Mortierellaceae_MLST
Mortierella sp.,GBA35,BCCHO,SAMN05720449,PRJNA340569,SRS1931034,BGX29,Mortierellaceae_MLST
Mortierella sp.,GBA39,BCCOO,SAMN05720493,PRJNA340570,SRS1931037,BGX30,Mortierellaceae_MLST
Mortierella sp.,GBA43,BCCON,SAMN05720494,PRJNA340571,SRS1931040,BGX31,Mortierellaceae_MLST
Mortierella sp.,NVP41,BCCNU,SAMN05720450,PRJNA340573,SRS1931042,BGX33,Mortierellaceae_MLST
Mortierella sp.,NVP85,BCCOG,SAMN05720496,PRJNA340574,SRS1932012,BGX34,Mortierellaceae_MLST
Mortierella sp.,14UC,BCCSU,SAMN05720455,PRJNA340477,SRS1932138,BGW39,Mortierellaceae_MLST
Mortierella sp.,KOD 1030,BCCST,SAMN05720520,PRJNA340821,SRS1932023,BGZ74,ZygoLCG_Misnamed
Mortierella verticillata,AD079,BCCSZ,SAMN07687489,PRJNA410321,SRS2661950,CPB97,Mortierellaceae_MLST
Mortierella verticillata,NRRL 2611,BCCPA,SAMN05720458,PRJNA340806,SRS1932009,BGZ59,Mortierellaceae_MLST
Mortierella verticillata,TTC192,BCCOS,SAMN07687234,PRJNA410574,SRS2661948,CPC16,Mortierellaceae_MLST
Mortierella wolfii,NRRL 6351,BCCPN,SAMN05720777,PRJNA340479,SRS1932106,BGW41,Mortierellaceae_MLST
Mortierella wolfii,NRRL 66265,BCCTZ,SAMN05720778,PRJNA340481,SRS1932107,BGW42,Mortierellaceae_MLST
Mortierella zychae,NRRL 2592,CTHWB,SAMN10361244,PRJNA499697,SRS4289355,EC991,Mortierellaceae_MLST
Mortierella zychae,PUST F9C,GBNUC,SAMN11510820,PRJNA535811,SRS5393869,FBU30,Mortierellaceae_MLST
Absidia blakesleeana,NRRL 1300,CTHPA,SAMN10363164,PRJNA500524,SRS4093122,EDD06,ZygoLCG
Absidia blakesleeana,NRRL 1301,CTHPB,SAMN10363194,PRJNA500525,SRS4093141,EDD07,ZygoLCG
Absidia caerulea,RSA 138_Plus,GBNUY,SAMN11493356,PRJNA535039,SRS5392554,FBN30,ZygoLCG
Absidia caerulea,RSA 138-,GBNUX,SAMN11493356,PRJNA535039,SRS5392554,FBN30,ZygoLCG
Absidia californica,NRRL 2709,CTHPU,SAMN10361471,PRJNA499665,SRS4286156,EC959,ZygoLCG
Absidia californica,NRRL 2967,CTHSN,SAMN13170688,PRJNA585273,,GGT68,ZygoLCG
Absidia coerulea,NRRL 1310,CTHPC,SAMN10363195,PRJNA500526,SRS4093132,EDD08,ZygoLCG
Absidia coerulea,NRRL 1313,CTHPG,SAMN10363165,PRJNA500527,SRS4093104,EDD09,ZygoLCG
Absidia coerulea,NRRL 1314,CTHPH,SAMN10363196,PRJNA500528,SRS4093137,EDD10,ZygoLCG
Absidia coerulea,NRRL 5926,CTHPO,SAMN13170812,PRJNA585274,,GGT69,ZygoLCG
Absidia coerulea,NRRL A-26290,CTHPW,SAMN10361223,PRJNA499681,SRS4286157,EC975,ZygoLCG
Absidia coerulea,NRRL A-9483,CTHSA,SAMN10361224,PRJNA499682,SRS4286155,EC976,ZygoLCG
Absidia corymbifera Cohn Saccardo Trotter,NRRL 1334,GAUUC,SAMN11510243,PRJNA536229,SRS5128314,FBX82,ZygoLCG
Absidia corymbifera,NRRL 2798,CTHPS,SAMN13170811,PRJNA585272,,GGT67,ZygoLCG
Absidia corymbifera,NRRL 2982,CWSAZ,SAMN11512116,PRJNA537979,SRS4736025,FB407,ZygoLCG
Absidia cuneospora,RSA 623_Plus,GBNUZ,SAMN11510655,PRJNA535831,SRS5392973,FBU52,ZygoLCG
Absidia cuneospora,RSA 624-,GBNWA,SAMN11510659,PRJNA535835,SRS5392978,FBU57,ZygoLCG
Absidia cylindrospora,NRRL 1341,CTHSC,SAMN10361447,PRJNA499646,SRS4286246,EC939,ZygoLCG
Absidia cylindrospora,NRRL 1343,CUPYN,SAMN10864346,PRJNA518916,SRS4604279,EVY04,ZygoLCG
Absidia cylindrospora,NRRL 1345,CTHPY,SAMN10361448,PRJNA499647,SRS4286160,EC940,ZygoLCG
Absidia cylindrospora,NRRL 13891,CTHPZ,SAMN10361079,PRJNA499659,SRS4286159,EC952,ZygoLCG
Absidia cylindrospora,NRRL 3069,CTHSG,SAMN10361215,PRJNA499668,SRS4286252,EC962,ZygoLCG
Absidia cylindrospora var. cylindrospora,NRRL 2796,CTHPT,SAMN10361575,PRJNA499687,SRS4286158,EC981,ZygoLCG
Absidia cylindrospora var. nigra,NRRL 3031,CTHSS,SAMN10361226,PRJNA499689,SRS4286254,EC983,ZygoLCG
Absidia dubia,NRRL 1322,CUPYO,SAMN10872457,PRJNA518915,SRS4604567,EVY03,ZygoLCG
