SPECIES,STRAIN,JGILIBRARY,BIOSAMPLE,BIOPROJECT,SRA,LOCUSTAG,TEMPLATE
Pilaira caucasica Milko,NRRL 6282,GAWBS,SAMN09062786,PRJNA455972,SRS3664060,DER83,ZygoLCG
Pilaira moreaui,CBS 181.26,CHXXU,SAMN09062757,PRJNA455973,SRS3664057,DER84,ZygoLCG
Pirella circinans,RSA 622-,GBNTW,SAMN11510660,PRJNA535836,SRS5393878,FBU58,ZygoLCG
Pirella circinans,RSA 682,GBNTX,SAMN11510656,PRJNA535832,SRS5393876,FBU53,ZygoLCG
Pirella circinans var. volvogradensis,RSA 2566,CHXZP,SAMN09074680,PRJNA463348,SRS3664233,DFQ41,ZygoLCG
Pirella naumovii,IMI 133977,CHXXX,SAMN09062756,PRJNA455971,SRS3664059,DER82,ZygoLCG
Pirella reniformis,NRRL 5259,CHXZS,SAMN09083228,PRJNA463343,SRS3664234,DFQ36,ZygoLCG
Protomycocladus faisalabadensis,NRRL 22826,GBNPY,SAMN11510826,PRJNA535820,SRS5394093,FBU41,ZygoLCG
Radiomyces mexicana,RSA 1186,GPCYU,,,,,ZygoLCG
Rhizomucor pusillus,NRRL 2543,GBNTY,SAMN11528551,PRJNA538883,SRS5394098,FB651,ZygoLCG
Rhizopus acetoinus,NRRL 549,CWPYU,SAMN11532698,PRJNA537965,SRS4735030,FB393,ZygoLCG
Rhizopus acetoinus,NRRL 5833,GAUWP,SAMN11528548,PRJNA536227,SRS5128360,FBX80,ZygoLCG
Rhizopus americanus,NRRL 66675,CTHWN,SAMN10361220,PRJNA499675,SRS4289369,EC969,ZygoLCG
Rhizopus arrhizus,CBS 258.28,GPPAC,,,,,ZygoLCG
Rhizopus arrhizus,CBS 330.53,GPPAO,,,,,ZygoLCG
Rhizopus arrhizus,CBS 387.34,GPOZZ,,,,,ZygoLCG
Rhizopus arrhizus Fischer,NRRL 1527,GAUSB,SAMN11510179,PRJNA536149,SRS5128178,FBX02,ZygoLCG
Rhizopus arrhizus,IMI16641,GPOXX,,,,,ZygoLCG
Rhizopus arrhizus,IMI180966,GPOXY,,,,,ZygoLCG
Rhizopus arrhizus,IMI195599,GPPAX,,,,,ZygoLCG
Rhizopus arrhizus,IMI199624,GPPAY,,,,,ZygoLCG
Rhizopus arrhizus,IMI201247,GPOXW,,,,,ZygoLCG
Rhizopus arrhizus,IMI215407,GPOXU,,,,,ZygoLCG
Rhizopus arrhizus,IMI266680,GPPAZ,,,,,ZygoLCG
Rhizopus arrhizus,IMI53173,GPOXT,,,,,ZygoLCG
Rhizopus arrhizus,JCM 5580,GPPAS,SAMN14511895,PRJNA619765,,HDV18,ZygoLCG
Rhizopus arrhizus,NBRC 4735,GPPAN,,,,,ZygoLCG
Rhizopus arrhizus,NBRC 4770,GPOZY,,,,,ZygoLCG
Rhizopus arrhizus,NBRC 5318,GPOZX,,,,,ZygoLCG
Rhizopus arrhizus,NRRL 13014,CWSCS,SAMN11512124,PRJNA537991,SRS4736433,FB419,ZygoLCG
Rhizopus arrhizus,NRRL 1470,CWPYY,SAMN11512088,PRJNA537966,SRS4735572,FB394,ZygoLCG
Rhizopus arrhizus,NRRL 2004,CWSAG,SAMN11511980,PRJNA537974,SRS4735921,FB402,ZygoLCG
Rhizopus arrhizus,NRRL 2286,GAUWW,SAMN11533444,PRJNA538866,SRS5128365,FB634,ZygoLCG
Rhizopus arrhizus,NRRL 2582,CWSAP,SAMN11512090,PRJNA537976,SRS4735990,FB404,ZygoLCG
Rhizopus arrhizus,NRRL 5896,GAUWX,SAMN11493331,PRJNA535007,SRS5128366,FBM96,ZygoLCG
Rhizopus arrhizus,NRRL 5899,CWSBZ,SAMN11512120,PRJNA537984,SRS5069331,FB412,ZygoLCG
Rhizopus arrhizus,NRRL 66564,CWSGA,SAMN11512126,PRJNA537993,SRS5069349,FB421,ZygoLCG
Rhizopus arrhizus,NRRL 66565,GAUUU,SAMN11493309,PRJNA535100,SRS5128322,FBN95,ZygoLCG
Rhizopus arrhizus,NRRL 66568,GAUUT,SAMN11493327,PRJNA534996,SRS5128323,FBM84,ZygoLCG
Rhizopus arrhizus,NRRL 66592,GAUUA,SAMN11493332,PRJNA535009,SRS5128305,FBM98,ZygoLCG
Rhizopus arrhizus,NRRL 66595,GAUUG,SAMN11493334,PRJNA535015,SRS5128316,FBN04,ZygoLCG
Rhizopus arrhizus,NRRL 66596,GAUUB,SAMN11493473,PRJNA535018,SRS5128307,FBN08,ZygoLCG
Rhizopus arrhizus,NRRL A-10365,GAUWT,SAMN11510180,PRJNA536150,SRS5128362,FBX03,ZygoLCG
Rhizopus arrhizus,NRRL A-10369,CWSGH,SAMN11511983,PRJNA537994,SRS5069352,FB422,ZygoLCG
Rhizopus arrhizus,NRRL A-11376,GAUWU,SAMN11510181,PRJNA536151,SRS5128367,FBX04,ZygoLCG
Rhizopus arrhizus,NRRL A-12998,CWSGU,SAMN11512127,PRJNA537995,SRS4736596,FB423,ZygoLCG
Rhizopus arrhizus,NRRL A-13860,CWSGW,SAMN11511958,PRJNA537996,SRS5069356,FB424,ZygoLCG
Rhizopus arrhizus,NRRL A-16824,CWSGZ,SAMN11511961,PRJNA537999,SRS4736874,FB427,ZygoLCG
Rhizopus arrhizus,NRRL A-16826,CWSHA,SAMN11511962,PRJNA538000,SRS4736869,FB428,ZygoLCG
Rhizopus arrhizus,NRRL A-16827,CWSHB,SAMN11511963,PRJNA538001,SRS4736871,FB429,ZygoLCG
Rhizopus arrhizus,NRRL A-17011,CWPYT,SAMN11512083,PRJNA537964,SRS4735029,FB392,ZygoLCG
Rhizopus arrhizus,NRRL A-23526,CWSHT,SAMN11511965,PRJNA538003,SRS4737348,FB431,ZygoLCG
Rhizopus arrhizus,NRRL A-26112,GAWHA,SAMN11510182,PRJNA536152,SRS5128046,FBX05,ZygoLCG
Rhizopus arrhizus,NRRL A-10276,GPOYX,SAMN14511897,PRJNA619769,,HDV22,ZygoLCG
Rhizopus arrhizus,NRRL A-12134,GPOYT,SAMN14511935,PRJNA619770,,HDV23,ZygoLCG
Rhizopus arrhizus,NRRL A-12745,GPOYY,SAMN14512026,PRJNA619771,,HDV24,ZygoLCG
Rhizopus arrhizus,NRRL A-13471,GPOYU,SAMN14512027,PRJNA619772,,HDV25,ZygoLCG
Rhizopus arrhizus,NRRL A-13606,GPOZC,SAMN14511976,PRJNA619773,,HDV26,ZygoLCG
Rhizopus arrhizus,NRRL A-13642,GPOZG,SAMN14511981,PRJNA619774,,HDV27,ZygoLCG
Rhizopus arrhizus,NRRL A-13676,GPOZH,SAMN14511791,PRJNA619775,,HDV28,ZygoLCG
Rhizopus arrhizus,NRRL A-13677,GPOZN,SAMN14512100,PRJNA619776,,HDV29,ZygoLCG
Rhizopus arrhizus,NRRL A-13678,GPOZO,SAMN14511936,PRJNA619777,,HDV30,ZygoLCG
Rhizopus arrhizus,NRRL A-13688,GPOYW,SAMN14511937,PRJNA619778,,HDV31,ZygoLCG
Rhizopus arrhizus,NRRL A-13690,GPOXZ,SAMN14511938,PRJNA619779,,HDV32,ZygoLCG
Rhizopus arrhizus,NRRL A-13738,GPOYA,SAMN14511792,PRJNA619780,,HDV33,ZygoLCG
Rhizopus arrhizus,NRRL A-13850,GPOYB,SAMN14511898,PRJNA619781,,HDV34,ZygoLCG
Rhizopus arrhizus,NRRL A-13968,GPOYC,SAMN14511996,PRJNA619782,,HDV35,ZygoLCG
Rhizopus arrhizus,NRRL A-15308,GPOZP,SAMN14511793,PRJNA619783,,HDV36,ZygoLCG
Rhizopus arrhizus,NRRL A-17371,GPOYG,SAMN14512028,PRJNA619784,,HDV37,ZygoLCG
Rhizopus arrhizus,NRRL A-20824,GPOYO,SAMN14512040,PRJNA619785,,HDV38,ZygoLCG
Rhizopus arrhizus,NRRL A-21477,GPOYP,SAMN14511794,PRJNA619786,,HDV39,ZygoLCG
Rhizopus arrhizus,NRRL A-21578,GPOYN,SAMN14511899,PRJNA619787,,HDV40,ZygoLCG
Rhizopus arrhizus,NRRL A-21579,GPOZS,SAMN14511806,PRJNA619788,,HDV41,ZygoLCG
Rhizopus arrhizus,NRRL A-21704,GPOYH,SAMN14512029,PRJNA619789,,HDV42,ZygoLCG
Rhizopus arrhizus,NRRL A-23526,CWSHT,SAMN11511965,PRJNA538003,SRS4737348,FB431,ZygoLCG
Rhizopus arrhizus,NRRL A-23527,GPOYZ,SAMN14511982,PRJNA619791,,HDV44,ZygoLCG
Rhizopus arrhizus,NRRL A-25359,GPOZT,SAMN14512030,PRJNA619792,,HDV45,ZygoLCG
Rhizopus arrhizus,NRRL A-26116,GPOZB,SAMN14511939,PRJNA619929,,HDV46,ZygoLCG
Rhizopus arrhizus,NRRL A-26501,GPOZA,SAMN14511929,PRJNA619930,,HDV47,ZygoLCG
Rhizopus arrhizus,XY00429,GPPAU,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus,XY00507,GPPAH,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus,XY01745,GPPAA,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus,XY01861,GPOZW,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus,XY01865,GPOZU,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus,XY01909,GPPAT,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus,XY01921,GPPAB,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus,XY02152,GPPAP,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus,XY02848,GPPAG,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus arrhizus var. arrhizus,NRRL 66674,CTHWP,SAMN10361573,PRJNA499685,SRS4289397,EC979,ZygoLCG
Rhizopus arrhizus var. delemar,NRRL 5129,CWSBN,SAMN11512117,PRJNA537981,SRS5069315,FB409,ZygoLCG
Rhizopus arrhizus var. delemar,NRRL 66676,CTHWO,SAMN10361225,PRJNA499688,SRS4289534,EC982,ZygoLCG
Rhizopus artocarpi,NRRL 1799,GAUTS,SAMN11532554,PRJNA536153,SRS5128300,FBX06,ZygoLCG
Rhizopus azygosporus,NRRL 13165,GBNTA,SAMN11510819,PRJNA535810,SRS5394216,FBU29,ZygoLCG
Rhizopus chinensis,NRRL 2906,GAUYA,SAMN11493303,PRJNA535084,SRS5128484,FBN78,ZygoLCG
Rhizopus chinensis,NRRL 2909,CWSAW,SAMN11511981,PRJNA537977,SRS4736030,FB405,ZygoLCG
Rhizopus chinensis,NRRL 5190,CWSBP,SAMN11512119,PRJNA537983,SRS4736053,FB411,ZygoLCG
Rhizopus chinensis Saito,NRRL 2905,GAUXW,SAMN11532815,PRJNA538874,SRS5128443,FB642,ZygoLCG
Rhizopus chinensis Saito,NRRL 3671,GAUYG,SAMN11510247,PRJNA536233,SRS5128486,FBX86,ZygoLCG
Rhizopus chinensis var. liquefaciens,NRRL 2870,GAUXX,SAMN11510248,PRJNA536234,SRS5128447,FBX87,ZygoLCG
Rhizopus chungkuoensis,NRRL 2873,GAUUP,SAMN11532233,PRJNA535035,SRS5128320,FBN26,ZygoLCG
Rhizopus circinans,NRRL 1475,CWPZB,SAMN11511966,PRJNA537139,SRS5069297,FB113,ZygoLCG
Rhizopus circinans,NRRL 2913,GAUTH,SAMN11493304,PRJNA535086,SRS5128297,FBN80,ZygoLCG
Rhizopus circinans,NRRL 2917,GBNSW,SAMN11533299,PRJNA538886,SRS5394215,FB654,ZygoLCG
Rhizopus circinans van Tieghem,NRRL 13978,GAUXA,,,,,ZygoLCG
Rhizopus cohnii,NRRL 1517,CWPZP,SAMN11532553,PRJNA537970,SRS4735591,FB398,ZygoLCG
Rhizopus delemar,NRRL 1472,GAUWG,SAMN11532041,PRJNA538869,SRS5128355,FB637,ZygoLCG
Rhizopus formosaensis,NRRL 2910,GAWHH,SAMN11493302,PRJNA535083,SRS5119192,FBN77,ZygoLCG
Rhizopus formosaensis,NRRL 2911,CWSAX,SAMN11512091,PRJNA537978,SRS5069310,FB406,ZygoLCG
Rhizopus formosaensis,NRRL A-10180,GAUSX,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus hangchao,NRRL 2874,GAUXU,SAMN11533301,PRJNA535037,SRS5128441,FBN28,ZygoLCG
Rhizopus hangchao,NRRL 5545,GAUTN,SAMN11532045,PRJNA535031,SRS5128296,FBN22,ZygoLCG
Rhizopus japonicus,NRRL 1898,CWSAC,SAMN11511967,PRJNA537140,SRS4735910,FB114,ZygoLCG
Rhizopus japonicus,NRRL A-13076,GAUTU,SAMN11510231,PRJNA536199,SRS5128302,FBX52,ZygoLCG
Rhizopus liquefaciens,NRRL 1512,CWPZN,SAMN11512084,PRJNA537968,SRS4735571,FB396,ZygoLCG
Rhizopus liquefaciens,NRRL 1514,CWPZO,SAMN11511979,PRJNA537969,SRS5069306,FB397,ZygoLCG
Rhizopus liquefaciens,NRRL 1703,CWSAB,SAMN11512087,PRJNA537973,SRS4735919,FB401,ZygoLCG
Rhizopus lyococcos,NRRL 1523,GBNSU,SAMN11533445,PRJNA538878,SRS5394211,FB646,ZygoLCG
Rhizopus microsporus,NRRL 13129,GAUTT,SAMN11510232,PRJNA536200,SRS5128301,FBX53,ZygoLCG
Rhizopus microsporus,NRRL 5546,CWSBS,SAMN11511968,PRJNA537141,SRS4736066,FB115,ZygoLCG
Rhizopus microsporus,NRRL 5547,CWSBT,SAMN11511969,PRJNA537142,SRS4736067,FB116,ZygoLCG
Rhizopus microsporus,NRRL 5548,CWSBU,SAMN11511987,PRJNA537143,SRS4736056,FB117,ZygoLCG
Rhizopus microsporus,NRRL 5550,CWSBW,SAMN11512019,PRJNA537144,SRS4736049,FB118,ZygoLCG
Rhizopus microsporus,NRRL 5551,GAUZX,SAMN11493306,PRJNA535095,SRS5119200,FBN90,ZygoLCG
Rhizopus microsporus,NRRL 5552,GAUZU,SAMN11493307,PRJNA535096,SRS5119194,FBN91,ZygoLCG
Rhizopus microsporus,NRRL 5553,CWSBX,SAMN11511988,PRJNA537145,SRS4736296,FB119,ZygoLCG
Rhizopus microsporus,NRRL 5554,CWSBY,SAMN11511989,PRJNA537146,SRS4736299,FB120,ZygoLCG
Rhizopus microsporus,NRRL 5558,GAUSG,SAMN11493329,PRJNA535003,SRS5128181,FBM92,ZygoLCG
Rhizopus microsporus,NRRL A-17693,GAUTO,SAMN11510233,PRJNA536201,SRS5128295,FBX54,ZygoLCG
Rhizopus nigricans Ehrenberg,NRRL 1477,GAUTP,SAMN11510239,PRJNA536223,SRS5128299,FBX76,ZygoLCG
Rhizopus nigricans,NRRL 3370,GAUTZ,SAMN11510187,PRJNA535666,SRS5128304,FBU10,ZygoLCG
Rhizopus nigricans,NRRL 3372,GAUXB,SAMN11510184,PRJNA535667,SRS5128368,FBU11,ZygoLCG
Rhizopus nodosus,NRRL 1473,CWPYZ,SAMN11533435,PRJNA535259,SRS4735530,FBP58,ZygoLCG
Rhizopus nodosus,NRRL 1474,CWPZA,SAMN11532221,PRJNA537967,SRS4735531,FB395,ZygoLCG
Rhizopus nodulosus,NRRL 1473,GBNSP,SAMN11528542,PRJNA535806,SRS5394162,FBU23,ZygoLCG
Rhizopus oligosporus,NRRL 6495,CWSCO,SAMN11512122,PRJNA537989,SRS5069334,FB417,ZygoLCG
Rhizopus oligosporus Saito,NRRL 5905,GAUTY,SAMN11532710,PRJNA538867,SRS5128306,FB635,ZygoLCG
Rhizopus oligosporus Saito,NRRL A-26117,GAWHC,SAMN11510196,PRJNA535668,SRS5128170,FBU12,ZygoLCG
Rhizopus oligosporus Saito,NRRL A-26124,GAUTB,SAMN11510188,PRJNA535669,SRS5128291,FBU13,ZygoLCG
Rhizopus oryzae,NRRL 13098,CWSCT,SAMN11511971,PRJNA537153,SRS5069335,FB127,ZygoLCG
Rhizopus oryzae,NRRL 1549,CWPZY,SAMN11511990,PRJNA537147,SRS4735923,FB121,ZygoLCG
Rhizopus oryzae,NRRL 2625,CWSAS,SAMN11511992,PRJNA537149,SRS5069298,FB123,ZygoLCG
Rhizopus oryzae,NRRL 2871,CWSAU,SAMN11511993,PRJNA537150,SRS4735988,FB124,ZygoLCG
Rhizopus oryzae,NRRL 3133,GBNTC,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus oryzae,NRRL 3613,CWSBH,SAMN11511994,PRJNA537151,SRS5069316,FB125,ZygoLCG
Rhizopus oryzae,NRRL 46180,GAUUY,SAMN11493355,PRJNA535029,SRS5128353,FBN20,ZygoLCG
Rhizopus oryzae,NRRL 6202,CWSCG,SAMN11511970,PRJNA537152,SRS4736443,FB126,ZygoLCG
Rhizopus oryzae,NRRL 62023,GAUTG,SAMN11510234,PRJNA536202,SRS5128294,FBX55,ZygoLCG
Rhizopus oryzae,NRRL 6400,GAUPW,SAMN11510242,PRJNA536228,SRS5128173,FBX81,ZygoLCG
Rhizopus oryzae,NRRL 66569,CWSGB,SAMN11511972,PRJNA537154,SRS4736598,FB128,ZygoLCG
Rhizopus oryzae,NRRL A-11564,CWSGP,SAMN11511973,PRJNA537155,SRS4736594,FB129,ZygoLCG
Rhizopus oryzae,NRRL A-12640,CWSGS,SAMN11511974,PRJNA537156,SRS4736599,FB130,ZygoLCG
Rhizopus oryzae,NRRL A-12997,CWSGT,SAMN11511995,PRJNA537157,SRS5069355,FB131,ZygoLCG
Rhizopus oryzae,NRRL_1550,CWPZZ,SAMN11510183,PRJNA535665,SRS5128215,FBU09,ZygoLCG
Rhizopus oryzae Went Prinsen Geerlings,NRRL 3563,GAUTC,,,,,ZygoLCG
Rhizopus peka,NRRL 1522,CWPZS,SAMN11512085,PRJNA537971,SRS4735619,FB399,ZygoLCG
Rhizopus pseudochinensis,NRRL 2344,GBNSA,SAMN11532712,PRJNA538882,SRS5394099,FB650,ZygoLCG
Rhizopus reflexus,NRRL A-16792,CWSGY,SAMN11511960,PRJNA537998,SRS4736865,FB426,ZygoLCG
Rhizopus reflexus,NRRL A-18059,CWSHN,SAMN11511964,PRJNA538002,SRS5069354,FB430,ZygoLCG
Rhizopus rhizopodiformis Cohn Zopf,NRRL 6258,GAUPU,,,,,ZygoLCG
Rhizopus rhizopodiformis,NRRL 2570,CWSAO,SAMN11512089,PRJNA537975,SRS4735912,FB403,ZygoLCG
Rhizopus rhizopodiformis,NRRL 5189,CWSBO,SAMN11512118,PRJNA537982,SRS4736068,FB410,ZygoLCG
Rhizopus rhizopodiformis,NRRL 5556,GAUPX,SAMN11493308,PRJNA535098,SRS5128175,FBN93,ZygoLCG
Rhizopus rhizopodiformis,NRRL 6246,GAUSA,SAMN11510197,PRJNA535670,SRS5128176,FBU14,ZygoLCG
Rhizopus rhizopodiformis,NRRL 6259,CWSCN,SAMN11512121,PRJNA537988,SRS5069333,FB416,ZygoLCG
Rhizopus rhizopodiformis,NRRL 6260,GAUPY,SAMN11533443,PRJNA538860,SRS5128174,FB628,ZygoLCG
Rhizopus rhizopodiformis,NRRL 6500,GAUSU,SAMN11493335,PRJNA535020,SRS5128171,FBN10,ZygoLCG
Rhizopus rhizopodiformis,NRRL 6501,CWSCP,SAMN11512123,PRJNA537990,SRS5069336,FB418,ZygoLCG
Rhizopus rhizopodiformis,NRRL A-16034,CWSGX,SAMN11511959,PRJNA537997,SRS5069357,FB425,ZygoLCG
Rhizopus sp.,NRRL 1524,CWPZT,SAMN11532048,PRJNA537158,SRS4735570,FB132,ZygoLCG
Rhizopus sp.,NRRL 1530,GAUSZ,SAMN11533441,PRJNA536203,SRS5128290,FBX56,ZygoLCG
Rhizopus sp.,NRRL 1539,GAUUX,SAMN11532705,PRJNA536204,SRS5128325,FBX57,ZygoLCG
Rhizopus sp.,NRRL 1543,GAUSY,SAMN11528547,PRJNA536205,SRS5128217,FBX58,ZygoLCG
Rhizopus sp.,NRRL 1544,GAUTA,SAMN11532706,PRJNA536206,SRS5128292,FBX59,ZygoLCG
Rhizopus sp.,NRRL 2934,CWSAY,SAMN11532234,PRJNA537159,SRS5069312,FB133,ZygoLCG
Rhizopus sp.,NRRL 3368,CWSBC,SAMN11532819,PRJNA537160,SRS5069313,FB134,ZygoLCG
Rhizopus sp.,NRRL 3373,CWSBG,SAMN11533302,PRJNA537161,SRS5069314,FB135,ZygoLCG
Rhizopus sp.,NRRL 5857,GAUWB,SAMN11532818,PRJNA535011,SRS5128356,FBN00,ZygoLCG
Rhizopus sp.,NRRL A-10162,CWSGG,SAMN11532049,PRJNA537162,SRS5069348,FB136,ZygoLCG
Rhizopus sp.,NRRL A-10958,GAUSW,SAMN11532707,PRJNA536207,SRS5128216,FBX60,ZygoLCG
Rhizopus sp.,NRRL A-11791,GAUST,SAMN11532038,PRJNA536208,SRS5128214,FBX61,ZygoLCG
Rhizopus sp.,NRRL A-16766A,GAWHB,SAMN11533295,PRJNA536209,SRS5128169,FBX62,ZygoLCG
Rhizopus sp.,NRRL A-17034,GAUSP,SAMN11533296,PRJNA536210,SRS5128205,FBX63,ZygoLCG
Rhizopus sp.,NRRL A-17388,GAUWA,SAMN11532701,PRJNA536211,SRS5128354,FBX64,ZygoLCG
Rhizopus sp.,NRRL A-17389,GAUSO,SAMN11532039,PRJNA536212,SRS5128203,FBX65,ZygoLCG
Rhizopus sp.,NRRL A-17473,CWSHC,SAMN11533303,PRJNA537163,SRS4736873,FB137,ZygoLCG
Rhizopus sp.,NRRL A-17548,CWSHG,SAMN11532050,PRJNA537164,SRS4736867,FB138,ZygoLCG
Rhizopus sp.,NRRL A-18472,CWSHO,SAMN11533447,PRJNA537166,SRS4736866,FB140,ZygoLCG
Rhizopus sp.,NRRL A-18714,CWSHP,SAMN11528552,PRJNA537167,SRS4736872,FB141,ZygoLCG
Rhizopus sp.,NRRL A-21231,CWSHS,SAMN11532812,PRJNA537168,SRS4736868,FB142,ZygoLCG
Rhizopus sp.,NRRL A-23913,CWSHU,SAMN11532716,PRJNA537169,SRS4737330,FB143,ZygoLCG
Rhizopus stolonifer,NRRL 1479,GAUUZ,SAMN11510235,PRJNA536213,SRS5128326,FBX66,ZygoLCG
Rhizopus stolonifer,NRRL 1480,CWPZC,SAMN11512010,PRJNA537173,SRS4735592,FB147,ZygoLCG
Rhizopus stolonifer,NRRL 1483,GAUUW,SAMN11532709,PRJNA538863,SRS5128324,FB631,ZygoLCG
Rhizopus stolonifer,NRRL 1519,GAUXT,SAMN11510192,PRJNA536214,SRS5128440,FBX67,ZygoLCG
Rhizopus stolonifer,NRRL 54333,GAUXG,SAMN11493336,PRJNA535022,SRS5128386,FBN12,ZygoLCG
Rhizopus stolonifer,NRRL 54667,CWSCX,SAMN11511996,PRJNA537170,SRS5069347,FB144,ZygoLCG
Rhizopus stolonifer,NRRL 66454,CWSCY,SAMN11511997,PRJNA537171,SRS5069351,FB145,ZygoLCG
Rhizopus stolonifer,NRRL 66455,GAUWO,SAMN11510653,PRJNA535807,SRS5128361,FBU24,ZygoLCG
Rhizopus stolonifer,NRRL 66456,GAUWC,SAMN11493353,PRJNA535024,SRS5128357,FBN14,ZygoLCG
Rhizopus stolonifer,NRRL 66457,GAUWN,SAMN11493305,PRJNA535089,SRS5128359,FBN83,ZygoLCG
Rhizopus stolonifer,NRRL 66458,GAUXC,SAMN11493325,PRJNA535103,SRS5128384,FBN98,ZygoLCG
Rhizopus stolonifer,NRRL 66459,GAUWH,SAMN11493326,PRJNA535105,SRS5128358,FBO00,ZygoLCG
Rhizopus stolonifer,NRRL 66460,CWSCZ,SAMN11511998,PRJNA537172,SRS5069350,FB146,ZygoLCG
Rhizopus thermosus Yamamoto,NRRL 2862,GAUSN,SAMN11510237,PRJNA536220,SRS5128196,FBX73,ZygoLCG
Rhizopus tritici,NRRL 1476,GAUSS,SAMN11510198,PRJNA535671,SRS5128204,FBU15,ZygoLCG
Rhizopus tritici,NRRL 1529,CWPZU,SAMN11512086,PRJNA537972,SRS4735778,FB400,ZygoLCG
Sporodiniella umbellata,FLAS-F-62758,GPGCC,SAMN13166137,PRJNA581162,,GGF36,ZygoLCG
Syncephalastrum racemosum,CBS 440.59_Plus,GBNXA,SAMN11510830,PRJNA535825,SRS5394208,FBU46,ZygoLCG
Syncephalastrum racemosum,CBS 441.59-,GBNXB,SAMN11510832,PRJNA535827,SRS5394207,FBU48,ZygoLCG
Syncephalastrum sp.,NRRL 1487,GAWNB,SAMN11533442,PRJNA536215,SRS5128558,FBX68,ZygoLCG
Syncephalastrum sp.,NRRL 1505,GAUYC,SAMN11532708,PRJNA536222,SRS5128706,FBX75,ZygoLCG
Syncephalastrum sp.,NRRL A-15186,GAWHY,SAMN11532556,PRJNA536216,SRS5128520,FBX69,ZygoLCG
Syncephalastrum sp.,NRRL A-23572,GAWNH,SAMN11532040,PRJNA536218,SRS5128704,FBX71,ZygoLCG
Syncephalastrum verruculosum,RSA 2127,COZUB,SAMN10362774,PRJNA500292,SRS4247325,EDC08,ZygoLCG
Syzygites megalocarpus,SC16,GBNTB,,,,,ZygoLCG
Syzygites sp.,MES 3091,CUPYH,SAMN10872737,PRJNA519281,SRS4604276,EV168,ZygoLCG
Thamnostylum lucknowense,RSA 1015_Plus-T,GBNSX,,,,,ZygoLCG
Thamnostylum lucknowense,RSA 1093-,GBNTU,SAMN11510833,PRJNA535830,SRS5394213,FBU51,ZygoLCG
Thamnostylum nigricans,RSA 1405-,GBNWP,SAMN11510824,PRJNA535818,SRS5394217,FBU38,ZygoLCG
Thamnostylum nigricans,RSA 1406,CHXZG,SAMN09062778,PRJNA455963,SRS3664231,DER74,ZygoLCG
Thamnostylum piriforme,NRRL A-21589,GAUXS,SAMN11510236,PRJNA536219,SRS5128707,FBX72,ZygoLCG
Thamnostylum piriforme,RSA 251,CHXZT,SAMN09074681,PRJNA463349,SRS3664235,DFQ42,ZygoLCG
Thamnostylum repens,RSA 459_Plus,CUPXU,SAMN10864754,PRJNA519277,SRS4604198,EV164,ZygoLCG
Thamnostylum repens Tieghem Upadhyay,NRRL 6240,GAUYS,,,,,ZygoLCG
Umbelopsis ovata,NRRL 13127T,GBNSG,SAMN11512125,PRJNA537992,SRS5069345,FB420,ZygoLCG
Zygorhynchus exponens,NRRL 1492,CUPZW,SAMN10864716,PRJNA519263,SRS4604765,EV150,ZygoLCG
Zygorhynchus exponens var. smithii,NRRL 2572T,GBNTH,SAMN10864716,PRJNA519263,SRS4604765,EV150,ZygoLCG
Zygorhynchus heterogamus Vuillemin,NRRL 1489,GAWHP,SAMN11510194,PRJNA536237,SRS5128515,FBX90,ZygoLCG
Zygorhynchus moelleri,NRRL 1498,GAWGH,SAMN11510199,PRJNA535672,SRS5126947,FBU16,ZygoLCG
Zygorhynchus moelleri Vuillemin,NRRL 1497,GAWGN,SAMN11532228,PRJNA538872,SRS5127768,FB640,ZygoLCG
